rating,category,fandom,relationship,character,additional tags,language,published,status,status date,words,comments,kudos,bookmarks,hits,persephone_agency,hades_agency,agency_diff,hades_power,persephone_power,power_diff
General Audiences,['F/F'],['Greek Mythology'],['Hades/Persephone'],"['Hades', 'Persephone', 'Libera (Ancient Roman Religion & Lore)', 'Pluto']","['Inspired by Hades and Persephone (Ancient Greek Religion & Lore)', 'Useless Lesbians']",English,2022-12-05,Completed,2022-12-05,655,,1.0,,30,,,,,,
General Audiences,['Gen'],['Ancient Greek Religion & Lore'],['Hades/Persephone (Ancient Greek Religion & Lore)'],['Persephone (Ancient Greek Religion & Lore)'],['Drabble'],English,2022-11-14,Completed,2022-11-14,100,4.0,23.0,,184,-0.2857142857142857,,,,0.0,
General Audiences,['F/M'],['Ancient Greek Religion & Lore'],['Hades/Persephone (Ancient Greek Religion & Lore)'],['Persephone (Ancient Greek Religion & Lore)'],['Drabble'],English,2022-11-06,Completed,2022-11-06,100,4.0,11.0,,90,,,,,,
General Audiences,['F/F'],"['Ancient Greek Religion & Lore', 'Original Work']","['Hera/Persephone (Ancient Greek Religion & Lore)', 'Hera/Zeus (Ancient Greek Religion & Lore)', 'Hades/Persephone (Ancient Greek Religion & Lore)', 'Implied Hera/Hades (Ancient Greek Religion & Lore)']","['Persephone (Ancient Greek Religion & Lore)', 'Hera (Ancient Greek Religion & Lore)']","['Declarations Of Love', 'Longing', 'Pining', 'a prayer from one goddess to another', 'a parallel from one story to another', 'Devotion', 'A Prayer', 'Poetry', 'from spring to matrimony', 'from devotion to wrath']",English,2022-10-31,Completed,2022-10-31,414,,13.0,2.0,119,,,,,,
General Audiences,['Gen'],['Ancient Greek Religion & Lore'],"['Demeter & Persephone (Ancient Greek Religion & Lore)', 'Hades/Persephone']","['Demeter (Ancient Greek Religion & Lore)', 'Persephone (Ancient Greek Religion & Lore)', 'Hades (Ancient Greek Religion & Lore)']","['Trick or Treat: Trick', 'Mother-Daughter Relationship', 'Rebellion', 'Mild Angst', 'Angst', 'Pre-Myth', 'Pre-Canon']",English,2022-10-28,Completed,2022-10-28,331,3.0,16.0,2.0,80,0.35714285714285715,0.0,-0.35714285714285715,0.2,-0.14285714285714285,0.34285714285714286
Teen And Up Audiences,[''],"['Ancient Greek Religion & Lore', 'The Song of Achilles - Madeline Miller']","['Hades/Persephone (Ancient Greek Religion & Lore)', 'Achilles/Patroclus of Opus (Ancient Greek Religion & Lore)', 'Achilles & Hector (Ancient Greek Religion & Lore)', 'Achilles & Patroclus (Song of Achilles)', 'Peleus/Thetis (Ancient Greek Religion & Lore)', 'Ariadne & Asterion the Minotaur (Ancient Greek Religion & Lore)', 'Hades & Poseidon & Zeus (Ancient Greek Religion & Lore)', 'Hera/Zeus (Ancient Greek Religion & Lore)', 'Zeus/literally almost every woman he sees', 'Demeter & Zeus (Ancient Greek Religion & Lore)', 'Artemis & Zeus (Ancient Greek Religion & Lore)', 'Apollo/Hyacinthus (Ancient Greek Religion & Lore)', 'Apollo & Artemis (Ancient Greek Religion & Lore)', 'Daedalus & Icarus (Ancient Greek Religion & Lore)', 'Ariadne & Icarus (Ancient Greek Religion & Lore)', 'Ariadne & Dionysus (Ancient Greek Religion & Lore)']","['Icarus (Ancient Greek Religion & Lore)', 'Ariadne (Ancient Greek Religion & Lore)', 'Huntresses of Artemis (Ancient Greek Religion & Lore)', 'Artemis (Ancient Greek Religion & Lore)', 'Apollo (Ancient Greek Religion & Lore)', 'Apollo (Song of Achilles)', 'Daedalus (Ancient Greek Religion & Lore)', 'Zeus (Ancient Greek Religion & Lore)', 'Hades (Ancient Greek Religion & Lore)', 'Persephone (Ancient Greek Religion & Lore)', 'Hera (Ancient Greek Religion & Lore)', 'Dionysus (Ancient Greek Religion & Lore)', 'Aphrodite (Ancient Greek Religion & Lore)', 'The Olympians']","['How Do I Tag', 'There are some modern aus', 'The Song of Achilles References', 'Song: Icarus (Bastille)', 'Inspired by The Fall of Icarus (Ancient Greek Religion & Lore)', 'Twelve Gods of Olympus (Ancient Greek Religion & Lore)', 'Mount Olympus (Ancient Greek Religion & Lore)']",English,2022-10-17,Completed,2022-10-17,923,,9.0,,103,,,,,,
General Audiences,[''],"['Ancient Greek Religion & Lore', 'Original Work']",['Hades/Persephone'],"['Persephone (Ancient Greek Religion & Lore)', 'Demeter (Ancient Greek Religion & Lore)', 'Original Female Character(s)']","['Angst', 'Dark Magic', 'References to Ancient Greek Religion & Lore', 'Inspired by Hades and Persephone (Ancient Greek Religion & Lore)', 'Hurt No Comfort', 'Dead Dove: Do Not Eat', 'Dark Fantasy']",English,2022-10-16,Completed,2022-10-16,1537,,1.0,,26,,,,,,
General Audiences,['Gen'],['Ancient Greek Religion & Lore'],"['Adonis & Persephone (Ancient Greek Religion & Lore)', 'Hades/Persephone (Ancient Greek Religion & Lore)']","['Persephone (Ancient Greek Religion & Lore)', 'Hades (Ancient Greek Religion & Lore)', 'Adonis (Ancient Greek Religion & Lore)']","['Mother-Son Relationship', 'Motherhood', 'Mortality', 'Introspection', 'Fluff']",English,2022-09-26,Completed,2022-09-26,1308,13.0,13.0,1.0,214,,0.4,,-0.6,,
Not Rated,['F/M'],['Ancient Greek Religion & Lore'],['Hades/Persephone (Ancient Greek Religion & Lore)'],"['Hades (Ancient Greek Religion & Lore)', 'Persephone (Ancient Greek Religion & Lore)']","['Alternate Universe - Modern Setting', ""They're still Gods though"", 'Implications of violence', 'Coercion', 'Non-Explicit']",English,2022-09-13,Completed,2022-09-13,550,,7.0,,101,-0.16129032258064516,,,,-0.22580645161290322,
Mature,['F/M'],['Ancient Greek Religion & Lore'],['Hades/Persephone (Ancient Greek Religion & Lore)'],"['Hades (Ancient Greek Religion & Lore)', 'Persephone (Ancient Greek Religion & Lore)']","['Hades is a simp', 'Persephone is a BAMF', 'Persephone is a literal queen', 'Give Persephone back her voice']",English,2022-08-25,Completed,2022-08-25,885,2.0,34.0,2.0,438,,0.5,,0.0,,
